Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
297.6,309.3,1543,34.3,8
297.8,309.4,1445,48.2,10
297.7,309.3,1893,24.6,15
297.6,309.3,1415,41.3,17
297.5,309.3,1564,37.5,20
297.5,309.3,1479,39.4,22
297.5,309.2,1426,44.8,24
297.4,309.2,1428,38.8,26
297.4,309.2,1620,33.2,28
297.5,309.2,1715,28,30
297.5,309.3,1732,29.9,32
297.5,309.4,1391,58.2,34
297.6,309.5,1924,20.6,37
297.7,309.5,2027,19.8,39
297.6,309.5,1617,36.2,42
297.5,309.4,1497,35.8,44
297.5,309.5,1448,43.7,46
297.4,309.4,1401,45.9,49
297.4,309.4,1620,35.4,51
297.4,309.4,1466,45.5,53
297.6,309.5,1373,50.6,55
297.6,309.6,1592,35.8,57
297.5,309.5,1553,42.4,60
297.6,309.5,1569,36.2,63
297.6,309.5,1709,32.2,65
297.6,309.5,1549,34.9,68
297.5,309.4,1443,45.4,70
297.5,309.3,1675,29.8,72
297.5,309.3,1623,33.4,74
297.4,309.3,1365,52.4,76
297.4,309.3,1759,24.8,81
297.4,309.3,1516,43,83
297.4,309.3,1499,36.8,88
297.4,309.3,1775,25.8,91
297.4,309.4,1473,45.5,94
297.4,309.4,1296,52.3,96
297.5,309.4,1803,24.7,98
297.5,309.3,1563,36.1,100
297.5,309.4,1831,26.6,105
297.6,309.4,1958,22.1,108
297.5,309.4,1809,24.3,110
297.5,309.4,1482,39.3,112
297.4,309.3,1332,53.2,115
297.4,309.2,1437,40.4,117
297.4,309.2,1698,29.4,119
297.4,309.2,1274,54.3,121
297.4,309.3,1622,35,123
297.4,309.3,1564,36,126
297.5,309.4,1368,45.3,129
297.4,309.4,1539,42.2,134
297.5,309.4,1357,50.1,137
297.5,309.4,1433,48.3,139
297.5,309.4,1650,34.6,142
297.5,309.4,1503,40.6,144
297.5,309.4,1318,58.2,146
297.5,309.4,1678,34.4,148
297.6,309.5,1574,30.9,151
297.7,309.6,1529,35.2,153
297.6,309.6,1669,32.1,155
297.7,309.7,1570,35.8,160
297.6,309.7,1541,33.7,165
297.7,309.7,1680,30.2,168
297.8,309.7,1935,22.1,171
297.7,309.6,1596,35.2,173
297.7,309.7,1498,41,176
297.8,309.8,1676,29,178
297.8,309.9,1351,49,181
297.9,309.9,1472,45,183
297.9,310,1439,41.7,185
297.9,309.9,1410,55.4,188
297.7,309.7,1440,51.1,191
297.7,309.7,1591,37.7,196
297.8,309.8,1533,36.8,198
297.8,309.7,1700,31.3,200
297.8,309.8,1798,25.5,203
297.8,309.7,1394,42.9,206
297.8,309.7,1341,49.2,208
297.7,309.6,1697,32.2,210
297.6,309.6,1419,48.2,215
297.6,309.5,2001,20.5,220
297.6,309.6,1501,49.8,222
297.6,309.5,1623,33.1,224
297.6,309.4,1628,33.4,229
297.6,309.4,1491,40.2,231
297.5,309.4,1517,36.7,233
297.5,309.3,1525,41.7,235
297.5,309.5,1668,27.9,240
297.5,309.6,1312,50.7,0
297.6,309.6,1278,50.4,2
297.6,309.6,1330,53.1,7
297.6,309.6,1530,37.3,10
297.6,309.6,1428,46.6,13
297.7,309.6,1480,47.9,18
297.7,309.7,1616,31.1,20
297.8,309.7,1547,37.3,25
297.9,309.7,2194,16.8,27
297.9,309.8,2000,21.3,29
297.9,309.8,1336,71.6,31
297.9,309.9,1542,33.8,33
297.9,309.8,1693,29.9,35
297.9,309.8,1461,50.5,38
298,309.9,1565,33.9,40
298,309.9,1403,47.7,43
298.1,309.9,1629,32.5,45
298.1,310,1534,33.7,47
298.1,310,1553,40.9,49
298.1,309.9,1563,32.8,51
298.1,309.9,1634,30,53
298,309.9,1445,45.2,55
298.1,309.9,1642,30.4,58
298.1,309.9,1686,29.1,60
298.1,310,1393,43.1,65
298.2,310,1433,44.2,68
298.3,310,1507,44.7,73
298.3,310.1,1389,49.6,75
298.3,310.1,1408,45.3,78
298.4,310.2,1725,32,80
298.4,310.1,1926,23.7,83
298.3,310.1,1509,37.6,85
298.3,310.1,1545,36.3,90
298.4,310.1,1533,35.2,92
298.4,310.1,1455,42.2,94
298.4,310.1,1335,57.8,96
298.3,310.1,1523,45.9,99
298.3,310,1460,47.6,101
298.4,310,1554,37.3,103
298.3,310,1419,47.1,105
298.3,310,1442,43.9,110
298.3,309.9,1507,41.6,112
298.3,310,1858,23.9,114
298.3,309.9,1463,43.9,116
298.2,309.7,1585,37.4,118
298,309.6,1536,37.3,120
298,309.6,1403,51.3,122
297.9,309.6,1515,38.8,124
297.9,309.5,1390,47.9,127
297.8,309.4,1226,58.7,129
297.8,309.4,1495,36.5,132
297.7,309.4,1608,30.2,135
297.7,309.4,1392,44.1,140
297.7,309.4,1461,43.7,142
297.7,309.3,1559,36.9,145
297.7,309.3,1400,48.9,147
297.7,309.2,1732,28.8,152
297.6,309.2,1611,33.1,155
297.6,309.1,1503,38.9,157
297.7,309.2,1391,44.5,159
297.8,309.3,2015,20.1,161
297.8,309.2,1683,30.9,163
297.7,309.1,1435,38.8,165
297.7,309.1,1732,28.1,167
297.7,309.2,1365,58.6,170
297.7,309.1,1562,36.8,172
297.6,309.1,1449,49.1,174
297.7,309.2,1700,27.4,176
297.6,309,1427,45.6,179
297.6,308.9,1479,38.1,182
297.5,308.9,1469,44,185
297.5,308.9,1390,47.4,187
297.5,308.9,1729,28.1,189
297.5,309,1470,43.5,191
297.5,308.9,1459,48.5,193
297.5,308.9,1738,24,195
297.5,308.9,1471,37.7,197
297.6,309,1822,25.4,202
297.5,308.9,1554,34.8,204
297.6,308.9,1433,43.2,206
297.6,308.9,1449,47.7,209
297.8,309,1456,41.2,0
297.8,309.1,1424,45.5,2
297.9,309.2,1577,34.7,5
297.9,309.2,1478,39.7,10
297.8,309.2,1295,61.2,12
297.8,309.2,1372,47.3,15
297.8,309.1,1432,42.6,17
297.7,309,1656,33.2,20
297.8,309,1410,48.8,23
297.7,309,1874,24.4,28
297.7,309,1538,43.2,30
297.7,309,1636,29.7,32
297.7,309,1504,40.4,35
297.7,309,1531,42.4,38
297.6,309,1735,26.4,41
297.6,309,1354,55.6,46
297.6,309,1413,40.2,51
297.7,309.1,1563,39.3,56
297.7,309.1,1479,42.1,58
297.7,309.1,1477,38.3,60
297.6,309.1,1394,50,62
297.6,309,1487,45.4,64
297.6,309,1815,25.3,66
297.6,308.8,1453,39.7,69
297.6,308.8,1539,40.2,72
297.5,308.7,1416,39.2,74
297.6,308.8,1683,31.6,79
297.7,308.8,1515,40.1,82
297.7,308.9,1531,48.3,84
297.7,308.9,1479,40.9,87
297.7,308.9,1516,33.7,92
297.7,309,1507,38.2,94
297.8,309,1434,43.3,96
297.7,308.9,1838,27.3,99
297.6,308.8,1416,45.9,101
297.6,308.8,1357,49.7,104
297.5,308.7,1697,28.1,107
297.5,308.7,1443,46.2,110
297.5,308.7,1453,37.6,112
297.4,308.6,1439,46.4,114
297.4,308.6,1609,36.2,116
297.4,308.6,1324,59.1,118
297.4,308.6,1420,45.8,120
297.4,308.7,1545,36.9,125
297.5,308.8,1477,39,127
297.4,308.8,1447,58.1,129
297.4,308.9,1809,23.8,131
297.5,308.9,1696,30.9,133
297.5,308.9,1427,44.7,135
297.4,308.9,1500,46.3,137
297.5,308.9,1390,44.6,140
297.4,308.8,1640,34.2,142
297.4,308.8,1628,37.4,144
297.3,308.6,1499,37.6,147
297.4,308.7,1425,50.3,152
297.3,308.6,1586,37.7,155
297.3,308.6,1471,50.7,157
297.3,308.6,1431,53,160
297.2,308.6,1924,22.1,163
297.1,308.4,1421,42,165
297,308.4,1305,54.6,168
296.9,308.4,1557,32.4,173
296.9,308.3,1555,38.2,175
296.9,308.3,1474,39.2,177
296.8,308.3,1506,45.9,182
296.9,308.4,1390,41.8,184
296.9,308.4,1450,46.9,186
296.9,308.3,1513,38.8,189
296.8,308.2,1643,34.7,191
296.8,308.2,1361,53.8,193
296.7,308.1,1450,40.9,195
296.7,308,1451,50.7,197
296.8,308.1,1289,62,199
296.8,308.1,1356,48.3,201
296.7,308.1,1528,46.3,203
296.6,308,1978,22.3,208
296.7,308,1535,36.8,210
296.8,308.1,1843,24.2,212
296.9,308.1,1422,48.7,215
296.8,308,1536,40.4,217
296.9,308.1,1483,44.3,219
296.8,308.1,1492,43.7,222
296.8,308,1584,40.4,227
296.9,308.1,1555,33.7,229
296.8,308,1497,41.7,231
296.7,307.8,1537,36.3,233
296.7,307.8,1505,39.4,236
296.7,307.8,1646,34.6,238
296.7,307.8,1286,60.5,0
296.7,307.8,1400,47.5,3
296.8,307.9,1337,56.5,5
296.9,308,1332,53.9,7
296.8,308,1561,38.3,9
296.9,308,1546,31.1,11
296.9,308,1713,29.3,13
296.9,308,1343,44.5,15
296.8,308,1391,54.4,17
296.8,308,1311,58.6,19
296.8,308,1453,51,24
296.8,308,1510,39.4,29
296.8,307.9,1448,48.8,31
296.7,307.8,1453,46,33
296.7,307.8,1468,39.2,35
296.7,307.8,1382,47.5,37
296.7,308,1580,32.2,39
296.8,308,1666,29.8,41
296.9,308,1409,50.7,43
296.8,308,1675,29.7,46
296.8,307.9,1698,30.8,48
296.7,307.9,1579,33.4,50
296.7,307.9,1743,27.9,55
296.9,308,1497,44.8,57
296.9,308.1,1741,28.8,60
296.9,308.1,1435,45.3,62
296.9,308.1,1440,46.3,64
296.9,308,1641,33.3,67
296.8,307.9,1420,45.4,70
296.8,307.9,1611,35.4,72
296.8,307.8,1373,42.9,74
296.8,307.9,1683,31.8,76
296.9,307.9,1547,32.6,79
296.9,307.8,1605,37,84
296.9,307.9,2010,18.9,86
296.8,307.7,1565,40.1,89
296.9,307.8,1828,24.6,91
297,307.8,1579,34.1,94
297,307.9,1882,24.2,97
296.9,307.8,1285,52.1,100
296.9,307.8,1571,35,102
296.9,307.8,1549,37.8,104
296.9,307.8,1544,37.6,109
297,307.9,1412,47.4,112
297,307.9,1422,53,115
297,307.7,1867,22.8,118
296.9,307.7,1424,43.3,120
296.9,307.6,1452,45.7,122
296.9,307.7,1550,39.7,124
296.8,307.6,1588,37.6,126
296.8,307.6,1338,44.4,128
296.8,307.6,1513,40,130
296.8,307.5,1470,45.9,132
296.8,307.5,1516,36.7,135
296.8,307.6,1434,48.3,138
296.8,307.6,1368,52,140
296.8,307.6,1304,48.7,142
296.8,307.6,1398,46.7,144
296.7,307.6,1516,37.4,146
296.7,307.6,1474,41.7,148
296.7,307.6,1547,34.7,150
296.6,307.5,1482,39.9,153
296.6,307.4,1436,42.8,156
296.6,307.3,1474,40,158
296.5,307.2,1481,38.2,160
296.5,307.3,1501,42.1,162
296.5,307.3,1566,37.2,164
296.5,307.3,1579,34.5,166
296.6,307.4,1631,35,168
296.6,307.4,1544,42.3,170
296.6,307.4,1521,38.6,173
296.6,307.4,1616,28,175
296.6,307.4,1333,50.2,177
296.7,307.4,1533,32.5,182
296.6,307.4,1368,45.1,185
296.6,307.4,1465,47.8,187
296.6,307.4,1406,41.5,189
296.5,307.4,1565,43.5,194
296.6,307.5,1582,37.9,197
296.6,307.5,1439,45.5,199
296.6,307.5,1566,35,201
296.6,307.5,1485,42.7,204
296.5,307.5,1566,35.1,206
296.3,307.3,1439,41.5,208
296.4,307.4,1416,50,210
296.4,307.4,2833,5.6,213
296.3,307.4,1465,47.1,215
296.4,307.4,1586,35.5,0
296.3,307.3,1567,31.4,5
296.2,307.2,1389,48.6,7
296.3,307.3,1368,49.5,10
296.3,307.3,1444,49,13
296.3,307.3,1498,41.6,15
296.1,307.2,1615,30.8,18
296.1,307.1,1898,22.7,20
296.1,307.1,1350,53.3,22
296.2,307,1516,37.6,25
296.2,307,1542,40.6,28
296.1,306.9,1541,32.6,33
296.1,306.9,1951,23.3,38
296.1,306.8,1645,31,41
296,306.7,1416,44.2,46
296,306.7,2044,22.3,48
295.9,306.6,1414,50.2,51
295.9,306.6,1678,26.7,53
295.9,306.5,1594,33.2,55
295.8,306.5,1514,37.7,60
295.8,306.5,1358,49.2,63
295.8,306.4,1325,56.2,65
295.8,306.4,1339,53.2,67
295.8,306.4,1335,51.7,69
295.9,306.4,1892,21.7,72
295.9,306.4,1575,28.5,74
295.8,306.3,1444,45.5,76
295.7,306.3,1915,22.4,79
295.6,306.2,1584,33.6,81
295.7,306.3,1685,34.9,84
295.8,306.3,1337,54.6,87
295.8,306.3,1235,76.2,89
295.7,306.2,1464,46.2,92
295.7,306.2,1739,25.9,94
295.7,306.3,1490,34.3,97
295.8,306.4,1356,48,99
295.7,306.2,1397,52,101
295.7,306.2,1458,40.6,103
295.7,306.2,2161,16.5,105
295.6,306.1,1651,28.1,110
295.6,306.1,1389,46.2,113
295.6,306,1370,52.4,115
295.7,306.1,1408,47.9,117
295.7,306.1,1343,54.4,119
295.7,306.2,1423,42.5,121
295.6,306.2,1426,48.6,124
295.6,306.2,1435,51.6,126
295.5,306.1,1573,35.1,129
295.6,306.2,1612,31.2,131
295.6,306.2,1446,49.9,133
295.6,306.2,1329,55.3,135
295.6,306.2,1569,35.1,140
295.6,306.1,1256,62.3,142
295.6,306.1,1383,48.7,147
295.7,306.2,2270,14.6,149
295.7,306.2,1458,49.8,151
295.6,306.1,1474,41.2,156
295.6,306.1,1462,49.2,158
295.6,306.1,1669,29,161
295.5,306.1,1822,24.3,164
295.5,306,1456,39.2,167
295.5,306,1546,35.9,169
295.6,306.1,1490,42.7,171
295.6,306,1569,40.4,174
295.5,306,1621,29.5,176
295.4,305.9,1518,40.6,178
295.4,305.8,1526,38.2,181
295.3,305.8,1589,36.2,184
295.3,305.7,1475,51,187
295.3,305.7,1473,38.5,189
295.4,305.8,1407,50.7,192
295.5,305.9,1518,44.1,194
295.5,305.9,1593,37.2,197
295.5,305.9,1380,52.4,202
295.5,306,1423,45.3,205
295.5,306,1800,27.6,208
295.6,306.1,1623,30.9,210
295.6,306.1,1372,55.6,215
295.6,306,1396,52.4,0
295.6,306,1949,21.9,5
295.6,306,1419,51.1,7
295.5,305.9,1453,47.3,9
295.5,305.9,1542,36.2,12
295.6,306,1363,50,14
295.5,306,1597,37.2,16
295.5,306,1326,50.8,18
295.5,306,1641,36.6,21
295.6,306.1,1418,46.2,24
295.6,306.2,1263,61.8,27
295.6,306.2,1823,25.8,29
295.5,306.1,1488,40.7,31
295.6,306.2,1443,48.9,33
295.6,306.2,1650,28.2,35
295.7,306.3,1462,44.3,37
295.6,306.2,1477,45,40
295.7,306.3,1712,28.5,43
295.7,306.3,1347,50.4,46
295.6,306.2,1287,54.8,49
295.6,306.2,1428,44.5,51
295.6,306.3,1426,45.5,53
295.6,306.3,1636,32.7,56
295.6,306.2,1424,42.5,58
295.6,306.3,1509,35.8,60
295.5,306.2,1448,48.9,65
295.5,306.1,1650,32.8,67
295.6,306.2,1414,42.5,69
295.6,306.3,1911,20.9,74
295.6,306.2,1632,32.2,76
295.7,306.4,1387,40.1,81
295.8,306.4,1399,47.6,84
295.8,306.5,1505,35.2,86
295.8,306.5,1534,37.9,88
295.8,306.5,1493,40.5,90
295.8,306.6,1480,43.2,92
295.8,306.6,1621,31.6,95
295.7,306.5,1737,26.2,97
295.8,306.6,1508,46.5,99
295.8,306.5,1641,32.2,101
295.9,306.6,1532,38.6,104
295.9,306.7,1547,40.9,107
295.9,306.6,1412,41,109
295.8,306.5,1568,35.1,111
295.9,306.6,1557,41.1,113
295.8,306.6,1644,35.2,115
295.9,306.6,1679,30.4,117
296,306.6,1511,35.2,119
296,306.6,1628,36.8,121
296,306.6,1392,51.3,124
296,306.7,1917,21,127
296.2,306.8,1526,42.3,129
296.2,306.8,1389,53.3,132
296.1,306.7,1409,42.8,134
296.2,306.8,1655,31.1,136
296.2,306.9,1516,39.1,138
296.2,306.9,1526,34.9,140
296.3,307.1,1419,48.6,142
296.4,307.2,1748,25.3,144
296.4,307.1,1638,32.5,146
296.3,307.1,1534,33.8,151
296.3,307.1,1774,25.9,154
296.2,307,2119,18.3,159
296.2,307,1414,48.3,162
296.1,307,1523,42,164
296.1,307.1,1651,35.7,167
296.1,307.1,1485,36,169
296.2,307.2,1168,63.4,172
296.3,307.3,1566,35.8,175
296.3,307.2,1286,51.1,177
296.3,307.2,1446,45.9,180
296.4,307.2,2071,19.4,183
296.3,307.1,1560,33.2,186
296.3,307.1,1654,29.6,188
296.3,307.1,1662,32.9,190
296.3,307.2,1646,35,192
296.2,307.1,1444,46.7,194
296.3,307.2,1424,42,196
296.2,307.2,1382,52,201
296.2,307.1,1413,53.4,203
296.2,307.2,1633,31.1,0
296.2,307.1,1441,41.7,3
296.2,307.2,1385,44,5
296.2,307.2,1552,34.8,8
296.2,307.3,1451,42.8,11
296.1,307.1,1433,38.5,14
296.1,307.2,1619,29.7,17
296.2,307.2,1445,41.8,20
296.2,307.2,1356,43.6,22
296.3,307.2,1319,68.3,24
296.3,307.2,1637,31.6,27
296.3,307.2,1291,58.6,29
296.3,307.3,1398,52.7,31
296.3,307.3,1372,57.7,33
296.3,307.2,1454,42.5,35
296.2,307.2,1515,36.5,38
296.2,307.3,1881,24.3,40
296.2,307.3,1711,29.9,42
296.2,307.3,1475,37,44
296.4,307.4,1512,36.8,46
296.3,307.4,1335,50.5,48
296.3,307.4,1472,39.9,51
296.2,307.3,1477,35.2,53
296.3,307.4,1760,28.4,56
296.4,307.5,1549,36.1,58
296.3,307.4,1648,34,60
296.4,307.5,1556,38,62
296.3,307.4,1958,19.1,67
296.4,307.4,1403,48.4,70
296.4,307.5,1684,31.4,72
296.4,307.5,1596,35.1,75
296.6,307.6,1498,41.1,80
296.7,307.7,1524,36.8,82
296.7,307.7,1502,43.9,84
296.6,307.6,1809,25.1,86
296.6,307.6,1542,37.4,88
296.5,307.6,1431,45.2,90
296.5,307.6,1512,43.6,92
296.4,307.5,1403,52.8,94
296.4,307.5,1331,47.8,99
296.6,307.7,1474,52.6,101
296.5,307.6,1607,33.5,104
296.5,307.6,1415,44.2,106
296.6,307.6,1671,28.8,108
296.6,307.7,1556,37.7,110
296.7,307.7,1927,23.9,112
296.7,307.7,1597,32.1,114
296.8,307.8,1627,30.5,117
296.8,307.8,1480,39.4,122
296.8,307.8,1565,39.5,124
296.8,307.8,1573,36.4,126
296.7,307.8,1605,31.3,128
296.7,307.9,1874,21.3,130
296.7,307.9,1424,53.8,133
296.7,307.9,1420,50.1,138
296.8,307.9,1372,49,140
296.8,307.8,1664,32.8,142
296.8,307.9,1409,44.3,145
296.8,307.9,1718,25.2,148
296.9,307.8,1544,40.3,150
296.9,307.8,1466,45.7,153
296.8,307.8,1394,47.7,155
296.9,307.8,1840,24.6,157
296.9,307.8,1477,37.2,160
296.9,307.8,1425,49.1,163
297,307.9,1414,46.2,165
297,307.8,1414,47.5,168
297,307.9,1595,31.7,170
296.9,307.8,1345,54.5,172
296.9,307.7,1653,35.9,177
296.8,307.6,1547,36.5,179
296.9,307.7,1656,30.8,181
297,307.7,1731,28.5,186
297,307.8,1774,28,188
297,307.8,1521,40.2,190
297.1,307.9,1420,39.8,192
297,307.8,1683,32.3,197
297,307.7,1498,47.1,199
297,307.8,1385,56.4,202
297,307.9,1455,49,204
296.9,307.8,1549,35.8,206
296.9,307.8,1392,43.9,0
296.9,307.7,2008,17.5,3
296.9,307.7,1464,41.4,6
297,307.7,1447,46.4,8
296.9,307.6,1685,32,10
296.8,307.5,1443,39.2,13
296.9,307.5,1354,44.4,16
296.9,307.5,2721,9.3,18
